No,reviewers_name,reviwers_rating,reviwers_title,reviewers_text,
40,CalvinValjean,4,Eventually the Spell Wears Off...,"This is one of the few examples of a film that I've really gone back on and changed my mind about. I don't usually pull a complete 180 on my opinion of a film, but this one did it.

I love Disney's original SLEEPING BEAUTY from 1959; one of the studio's most gorgeous- looking films with a hypnotic, poetic quality, and a strong villain. When I saw MALEFICENT for the first time, I fell for its spell. I liked that here was a live-action fairy tale movie that WASN'T about big CGI-battles (there's only one small battle at the very beginning). Here was a movie that showed the dark side of fairy tales (even having a subtextual date-rape scene) with a slower pace, more visual-oriented storytelling, and had a Feminist message. Plus I liked Angelina Jolie and her dynamic with her servant Diaval (Sam Riley). I even bought the Blu-Ray.

But with each repeat viewing I began to find more flaws in the film. One is the complete destruction of the characters of the three fairies Flora, Fauna, and Merriweather (they change the names to Flittle, Knotgrass, and Thistletwit for some reason, but whatever. It's basically those characters). They are turned into complete idiots. The Nostalgia Critic actually worded it best: it feels as if the screenwriter of this film had a personal vendetta against the creator of those characters. I can understand that in order to make Maleficent seem like the heroine of the story, the movie has to downplay these fairies, but it's pushed much too far. They come off grotesquely stupid and incapable of raising a child. We see almost no interaction between them and Aurora.

Speaking of Aurora, Elle Fanning is horribly bland. This is supposed to be the most beautiful princess to ever live, and she offers little in terms of character or personality. Believe it or not, the animated version of the character actually had more screen presence with her ethereal singing voice. Another problem with the story is the pace: there is a 16-year gap in the story where nothing happens. The entire middle act of the film is just Maleficent watching Aurora grow, the two bond, and 16 years pass within the story with little conflict. The film tries hard to compensate for this lack of progression by inserting lots of filler of King Stefan going mad. Even at a mere 88-minute runtime, the film seems dragged out. It's really hard to make a story compelling when the plot literally has to stop and not move forward for 16 years until it can progress.

Prince Philip is truly given nothing to do. The movie is trying to go for the same message as FROZEN; the ""true love"" of the story is between two women (in this case a mother and daughter-figure) instead of romance. But while I can appreciate this modern take on the fairy tale narrative, it's just so sloppily done to the point that Philip is a non-character who gets kicked out of the movie. When he shows up again at the very end, it feels like a tacked-on ""Oh yeah, we forgot about him"" moment. FROZEN was much smarter in its subversive take on the genre.

The 1959 animated film is not intended to be realistic. It embraces the fact that it's a fairy tale and has all the Hollywood and Disney archetypes of the 1950's. Sure, it wasn't big on character development, but it had some nice magical moments. You could enjoy the whimsy of Aurora and Philip meeting and falling in love, the humor of the three fairies, and the menace of Maleficent. It was a pure fairy tale.

But this film, made for a 2014 audience, is slightly harder to pigeon-hole. It's not quite sure if it wants to be a pure fairy tale that throws logic completely to the wind or if it wants to be a more adult, gritty, realistic, and sophisticated take on the story. Once you look beyond the performances of Jolie and Riley, the only two actors in the movie who are actually engaging, you're left with a pretty meh story.

By the third time I saw the film, my problems with it were so large that I realized I would probably not be likely to watch it again, and ended up selling the Blu-Ray to someone. And that perfectly sums up MALEFICENT: it casts a spell on you once, but it soon wears off once you start thinking too much.",
41,unikorn-67905,4,Meh,This was an interesting twist on the typical Disney fare. It's like Pan's Labyrinth for the younger set.,
42,mpurvismattp,3,WRONG!!! Disney just crapped out another live action turd.,"I had to write a review of this movie to tell all of u out in IMDb land how terrifically horrendous this so called ""re-boot"" of the classic Disney fairy tale ""Sleeping Beauty"" is. The original beloved film, created in the golden age of the studios animation department is basically told to shut the Hell up and not get in the way of this new ""touchy feely"" version of every kid gets a trophy style movie making. This of course is supposed to appeal to as many people as possible while not scaring one child (cus ya know how fragile our youth are today, God forbid) while at the same time not showing any creativity, accuracy or entertainment, not even slightly. Now I'm not trying to say that this new film couldn't or shouldn't have the right to change a few things. After all it's a live action film and many decades have passed since the original was released. We would expect a few new or different things story wise and perhaps character wise but what we got was a totally different and in my opinion bland, heartless shell of the original film that at no point in the two hours I sat watching thought it added anything to the ""Sleeping Beauty"" story nor did it honor the Maleficent that we all loved to hate in the classic film. Jolie looks the part at least but the way the writers absolutely robbed the title character of her dastardly ways, and turned her from the evil sorcerous we came to love into some misunderstood fairy that lost her wings, this was just reaching too far for me. Losing her wings made her mad but never at any point slightly turned her to the dark side, wtf? The three fairies in the original film are not as magically gifted as Maleficent but are able minded and capable of some pretty nifty tricks when they need them and most importantly they are caring surrogate parents who deeply love Rose (Princess Aurora) like their own daughter. The new film makes them out to be idiots who have little reason for even being there. The creators also replace the fairies tender and loving relationship with a guilt ridden Maleficent who steps in as the one who cares for Rose, once again, wtf? Lastly King Stefan is not the caring and kind father of Princess Aurora who reluctantly gave his daughter up to hopefully spare her life and avoid Maleficent's evil birthday curse of death. The curse that one of the fairies finds a loophole for with her blessing of eternal sleep that can be lifted with a kiss of true love and which gives Aurora a sliver of a chance if she were to prick her finger on the spinning wheel as Maleficent had hoped. Every good character in this new film is changed to make them look incompetent, mean spirited, greedy or all of the above. This is to make Maleficent look like a victim of circumstance and more likable. The thing is she's not supposed to be likable, she's the villain remember? Bad job by Disney's live action department again (John Carter, The Lone Ranger, Alice in Wonderland, etc) and a bad movie is the outcome...again. Chances are its been a while since you've seen the original so please just go watch that and don't bother with this new ""installment."" Sometimes Disney has no shame when it comes to defiling the landmark pictures and characters that built their mighty empire. It seems that nothing is sacred and cheapening the great stories of their past is often dismissed or completely ignored as long as it makes a profit while doing so. It's not global famine or the end of the world of course but I think they should treat the works of their forefathers with a lot more respect and I find it a bit sad.",
43,noway234-1,1,"Maleficent, The Big Green Softie","Does anyone even remember the original Sleeping Beauty? I do, it was my favorite Disney movie as a child. I had an old VHS copy that I would watch every week, in love with the visuals and the dialog and every character. Maleficent was always my favorite villain, she was pure evil but reveled in it. She was joyous in just destroying a kingdom for no other reason than ""I didn't get an invite to a party"". She was the most evil character ever, her first action on screen was to attempt to kill a child. She was amazing. When I heard there was a movie about her, I was pumped. A full hour and a half showing Maleficent being evil, she would chew scenery and give us a fun thrill ride of a movie, it would be a departure for Disney but it'd be fun and epic in scope. I was prepared for fun.

I walked into the cinema and took my seat and was ready for fun... 5 minutes in, Maleficent has magically healed a tree and I realized the folly of my choice in movie. They took Disney's greatest villain, someone who was the purest of evil and loved it, and they turned her into a wood nymph that got raped by the prince and had a bad day. That's it, the wing cutting scene is a metaphor for Rape. That's not my interpretation, that was what they intended! The scene everyone was looking forward too (The curse scene) was an almost perfect recreation of the original movie and I was prepared to love it... and then, instead of Maleficent cursing Aurora to die, she cursed her with the threat of a coma. I'm sorry, that's not scary. The entire reason that Aurora had to be taken from the kingdom was because Maleficent had cursed her to die, Maryweather came up with the hail Mary pass of 'sleep' but they took her into the forest just in case Maryweather's spell didn't work. Here, they do it because they have too.

Oh, did I forget to mention that Maleficent spends the entire movie knowing exactly where Aurora is (Which in the original movie, she didn't, it was a plot point and everything) and even saves her life several times? They took the greatest Disney villain of all time, and literally had her pulling people's pigtails with magic.

Don't even get me started on the stupid ending, which is stupid and offensive in so many ways (The least of which is what it did to the story of Sleeping Beauty)

I have heard people say that it's a fun movie. I'm sorry, I spent all of it with my head in my hands wanting it to stop because it hurt to see a character I loved completely destroyed. This movie had the potential to be great, it had the potential to be something different. It was Wicked, except Wicked had the smarts to realize that yes, this character is Evil and while you can love her, she has to die at the end.

Thankyou Disney for ruining my favorite childhood villain.",
44,angie_l,3,Plot holes in a completely new version of Sleeping Beauty,"Overall, the movie was OK and I don't regret watching it. It was entertaining and beautifully shot even if many scenes were referential to other movies.

As for the acting, Elle Fanning was OK as Aurora though the character felt a bit empty but to be fair, there wasn't much in the script to work with. I wish she had a little more to her than childish goodness. There actually wasn't much for any of the actors to work with. I won't lie, I'm no fan of Jolie's acting, she comes across as haughty in every role, humility and vulnerability are completely outside her range. But, her haughtiness works here and she was good as Maleficent except in the scenes where she was supposed to be angry. I got no hint of her anger, fire, or passion, she was merely shouting. I wanted to feel her rage.

Biggest problem with the movie is the number of plot holes. There is no real explanation given for why the Moors and the kingdom of men are enemies. The king decides to attack for virtually no reason. The relationship between Stefan and Maleficent is graced over and yet this relationship goes to the core of Maleficent's being. We also see nothing of Stefan's life so we are unable to fully understand his actions and motivations. Stefan becomes mad and paranoid with no real love for his daughter and that just sort of happens. I could go on and on about things left with little explanation.

Another major problem I had was the previews of the movie lied to me in a big way. The movie wasn't a retelling of Sleeping Beauty from Mealficent's point of view, it was an entirely new story. I wanted to find out why Maleficent was evil - the maleficent I know and love/hate or hate/love. I wanted to see Maleficent's evil with new understanding. Let's face it, Maleficent was nowhere near evil in this movie, she's angry for a moment and that's it... which lead me to imagine other ways to tell the story. Perhaps, humans had seriously wronged her. Aurora was the child born to unite the 2 warring kingdoms of men and that Maleficent's plan was to stop this union for real substantial reasons - The story could have been easily told with a new perspective while being seamlessly woven into the known fairy tale. Every story has two sides, right?

In conclusion, I wouldn't recommend this movie. If they were going to deviate so much from the known Disney or Perrault version, they could have fleshed out the story a little (lot) more.",
45,ToThePointPR,4,The Mistress of all Evil but the Mistress is a Stepmom and a Vindictive Ex,"This movie loses all of what makes Maleficent an interesting and memorable villain. She is the one, and only, Mistress of all Evil who was scorned by being the only one not invited to the coronation of Princess Aurora, with knowing nothing but evil, hatred and a willingness to make those who stand against her suffer. This movie however makes her a sensitive victim, a dark fairy with a heart and one who IS NOT evil and was scorned by the man she loved, and who stole her wings. Its dumb. Angelina does a fine job though.",
46,marcusman48,3,Maleficent is dead - and we have killed her!,"I have not felt this betrayed by a motion picture in literally years. What's especially sad is that I really, REALLY wanted to see it (and to like it, which I still would if it didn't stir up so much rage within me), and, while harboring no illusions that it would be great, I was sure it would be at least good. But SLEEPING BEAUTY (1959) is one of Disney's most perfect animated films and an indelible memory from my childhood. It was unique for its era: not so much Disney, per se, as it was ""Rankin-Bass does Disney and does a damned fine job of it."" It was my LORD OF THE RINGS when I was growing up. Now it is garbage, all thanks to MALEFICENT.

I hope that Walt Disney Pictures are pleased with themselves. They've taken one of the their greatest female villains - no, one of THE greatest female villains, Disney or not - and reduced her to an ice queen with a particularly bad case of PMS. For years Disney has been ruining other people's ideas; now they're ruining their own ideas as well. As Maleficent herself once said, I was left staring in shock and thinking: ""No! It cannot be!""",
47,Hunt2546,2,Intellectual pablum,"Superb technical craft manages to disguise for about an hour the utter banality and PC drivel of this feminist agitprop version of Sleeping Beauty. It's particularly disappointing because the cover art shows a horned Angelina Jolie looking like Faye Dunaway on steroids, and Jolie does give a camp romp a la Dunaway or any of several other screen divas of malfeasance. But the feminist screenwriter can never make any sense of the story in any save political terms--male patriarchy bad, except for a prince who looks like a eunuch--while Maleficent, horns and all, comes out, I suppose, for female empowerment. Lots of bad decisions--besides using this script--occlude the thing as well. I think it was a bad idea to have Maleficent actually engage in combat with the forces of maledom, like a Superhero. It just looks goofy. The story is rewired grotesquely to accommodate the correct point of view with King Stefan (SPOLER) emerging for no reason except that thing between his legs, as the villain. Also gone are the core elements that make the story so endearing--the 100 year curse, the swarming thorn forest that hides the castle until Prince Charming hacks through it, and Maleficient's metamorphosis into a dragon. There is a dragon, but now he's a good dragon, that is, a contributor to NOW with an autographed pic of Bela Abzug on his wall, like the movie surrounding him, a need to vandalize the classics for this year's fashions. In fact so ridiculous is this one that Sleeping Veauty is only asleep for about 46 seconds!",
48,spitfire2356,2,What audience?,"First; I would like to complement the photography and CGI effects. Simply stunning - even if I only saw it in flat format. I am sure 3D was magical. Second; Angelina is superb as the betrayed angst ridden revengeful elf-witch which redeems herself. Her body and face are 'naturally' made up to be other-worldly looking. Bravo. The superlatives earn the 'deux points'. It is all downhill from here. Aurora is portrayed as a plain village idiot with an age of 6 though approaching her 16th birthday. She is soppy as cold soup and zaps away any magic from the movie . I understand nobody wanted to play second fiddle to Angelina - but there seems to have been a stampede. The king is just plain incompetent at being a father, king, warrior, and at destroying spindles and wings. He is incompetent at being evil - just contemptibly irritating. His choice of baby sitters proves the point. The fairies are beyond dumb, dumber and dumbest to be funny. The sidekick raven-man is a non-starter as a character. The prince Charming fizzled as a footnote to the story. Without character interaction, no story holds any interest whatsoever - ask my grandma. A timeless tale was savagely pruned to the trunk. Finally; just who was this movie aimed at?? It is too violent for kids.(PG my foot) It is too boring for adults. The 'twist' on the story could be seen a mile off. I was left with a bad feeling that this movie was a poorly disguised feminist vehicle.",
49,owlmarvel,3,Does not live up to expectations,"This film is poor, I think that the original Sleeping Beauty story is so much better and something I don't think I can rewatch it.",
50,acanacox,3,All star points go to Angelina,"My favorite Disney princess, villian, prince, artistic Disney film brought to life~ which no one asked for~ neither did I! I knew it was going to be a disaster~ you.dont.ever.recreate.a.brilliant.classic with realism~ especially when you mess up the whole movie script! The only Part I truly enjoyed was angelinas part. The famous quote ""well well....., oh dear, listen well all of you-"". That scene and her script lines was the only part I enjoyed until they just decided to add useless lines for her. Shes absolutely stunning looking so huge props to her makeup artists! Gahhhhhhhh they ruined everything about aurora!!!!! Absolute favorite princess doesn't come close to this actress's portrayal! I've seen Disney land character auroras that looked sooo much better and sorry~ prettier than this girl! ""Gold of sunshine in her hair~ lips that shame the red red rose""....nothing that fits that into this random girl! No clothes that resemble her outfit in the cartoon version! Give me SOMETHING that makes me think ""yea that's Aurora""! Her demeanor is nothing like that of the cartoon version! Belle in the realistic version was more alike of her cartoon self than this girl! Stupid crow part, stupid first kiss, stupid fight with the dragon, and of course the ending is nothing like the cartoon. I was incredibly incredibly dissatisfied that they didn't have the ""once apon a dream"" SINGING in the movie but only in the credits. The most well known song in that movie and they don't put it in~ yea yea yea it's about Maleficent, but at the same time aurora has basically more screen time. Disney you must be out of ideas for movies that allll you do is make realistic Disney classics into disasters that keep getting worse and worse and worse! Stay out of original Walt Disney's vault and stay in your own lane of creativity~ cuz this ain't it!",
51,LeonLouisRicci,9,True Love Comes In Many and Different Ways,"A bit Dark for a PG Rating so Parental Guidance is Advised. But the more
 Mature and Well Grounded Children are sure to Get a Thrill from this 
CGI Ride that is Full of Fantastic Images and Stirring Action.

It
 is Pathos that the Movie Embraces and the Good and Evil are Reversed 
somewhat but there are still Characters Worth Rooting for and others to 
Hiss and Boo. 

Haters of this Backstory seem to be Under the 
Delusion that the Original Fairy Tale and the Original Disney Animated 
Movie have been Purged from Existence with some Sort of Orwellian Eraser
 and Cease Existing to Enjoy.

Both are still there to be Perused 
and Appreciated, this is just something a bit Different, Not a 
Replacement. Angelina Jolie makes a Great Maleficent and is backed by an
 Array of Colorful and Interesting Fairies and other assorted Moor 
Magnificence. 

Thankfully there are No Outburst of Sappy, 
Old-Fashioned, Done-to Death Songs Interrupting the Story and it Plays 
out like a Truly Grim Fairy Tale. True Love comes in Many Forms and is 
not always found in a Traditional way, there could be others, and this 
is Not a Replacement, it's just Manifested in Another Form.

The 
Film certainly Looks Seamless incorporating Live Action and Animation. 
The Three Fairies are Amazing, and the Whole Movie is Spellbinding in a 
somewhat ""New"" Kind of Look from Modern Artistry.

Definitely 
Recommended for Those that Don't always Take the Path Well Traveled and 
are Willing to Accept and Embrace New Directions as New Entertainment 
and this Does Not Eliminate the Old, but Enhances with Enchantment.",
52,NijazBaBs,9,perfect 3d movie,"I like that we have the new perfect cartoon movie which made maximum use
 of technology (CGI) and good actors. Similar to other famous fairytales
 like Shrek (2001), The Lord of the Rings: The Fellowship of the Ring (2001), Finding Nemo (2003), Ice Age (2002)
 and others. Graphics is similar in all, as is the story and stunts 
(flying, magic, war...). Also Angelina and others here look very 
confident playing their role, as if they are born for it. Unrealistic, 
but that is appropriate for such cartoon or kids movie. Bit negative at 
the end, but appropriate for the situation and earlier events, just like
 it is appropriate to defend ourselves in the war, even if we have to 
kill. The only thing I can't rate this the 10 stars is because the main 
actor Angelina is not living by the example outside of the movie too.",
53,vithiet,9,Great take on a classic tale,"Not usually a fan of Angelina Jolie but she gave a great performance 
here. I don't care what the critics say, I loved every second of this 
movie!",
54,Just-A-Girl-14,9,Great fairytale - better than the original sleeping beauty story,"I really like the Maleficent franchise. Both movies are great!
Good acting, great writing, has all the right emotions and the message is good!
Thumbs up! Highly recommended!",
55,rajatdahiyax,9,Not all stories are quite the same as they are told!!!!!!!,"""Maleficent"" explores the untold story of Disney's most iconic villain 
from the classic ""Sleeping Beauty"" and the elements of her betrayal that
 ultimately turn her pure heart to stone. Driven by revenge and a fierce
 desire to protect the moors over which she presides, Maleficent cruelly
 places an irrevocable curse upon the human king's newborn infant 
Aurora. As the child grows, Aurora is caught in the middle of the 
seething conflict between the forest kingdom she has grown to love and 
the human kingdom that holds her legacy. Maleficent realizes that Aurora
 may hold the key to peace in the land and is forced to take drastic 
actions that will change both worlds forever.",
56,doug_park2001,9,"""So you see, the story is not quite as you were told""",,"Angelina Jolie gives an outstanding performance as adult Maleficent; 
ditto for Isobelle Molloy as young Maleficent and Ella Purnell as teen 
Maleficent, a fairy with the body of a cute young fairy girl who matures
 into a beautiful woman with large, plain, but VERY powerful 
brown-feathered wings and twisted ram's horns. At an early age, 
Maleficent makes the mistake of befriending a human boy from the 
neighboring quasi-English realm who ultimately hurts and betrays her. 
From there, the story, with many clever deviations and without seven 
dwarfs, follows some of the rough pattern of the fairy tale popularized 
by the Grimm Bros/Charles Perrault and the earlier Disney movies. Elle 
Fanning also gives an impressive performance as Aurora (""Snow White"").

MALEFICENT
 strikes just the right balance of fantasy and reality, humor and 
horror, meaningful storyline and simple entertainment. There are all 
sorts of reasons to enjoy this film: The unique version of the story 
itself, the visuals, the character study of the protagonist, you name 
it. For me, the single best thing about MALEFICENT is its vivid 
portrayal of the Fairyland Moors, complete with pixies, elves, dryads, 
naiads, dragons, talking toads, Bokwus-like tree giants, and a host of 
others, including a were-crow.

This is a film without absolutes: 
No one is completely evil or noble, and no one, no matter how powerful, 
is invincible. MALEFICENT goes much deeper than the original tale of the
 handsome prince randomly falling in love at first sight with Sleeping 
Beauty and awakening her with a kiss from the evil swoon imposed by her 
horrible wicked fairy godmother. There are all sorts of big themes here:
 Good versus evil (and there are intermixtures of both in all the major 
characters), love versus lust, deception, greed, and so on. Many 
historical parallels can also be seen, the British Empire and American 
expansion to name just a couple. Yet, all the film's allusions will not 
get in the way of anyone who just wants to watch it for the rich and 
surprising ride it gives.

Some violent (and entertaining) battle 
scenes and disturbing images, but no serious gore. There's probably 
nothing here the average 8-year-old can't handle. Still, MALEFICENT is 
primarily a fairy tale for adults. Younger children may be confused by 
who they're supposed to root for, who's supposed to be ""good"" and who's 
supposed to be ""bad."" ""Good"" characters, after all, generally do not 
have horns. All the same, it provides a fine illustration of the 
complexities of human and other natures.

While the script and 
soundtrack could have been a little better in places, the whole quality 
of the acting, filming, and everything else is superb. Great use of 
Anglo-Celtic accents. Last but far from least, a beautifully fulfilling 
and well-earned ending."
57,beachy-38431,9,Better than what is written here.,Angelina Jolie made this movie (good). Elle Fannining ruined it.,
58,SofiaHedge,9,An Interesting Movie,"I have no idea why people tend to criticize this movie. Angelina Jolie 
did wonderfully as Maleficent, and it is nice to see the story from 
Maleficent's point of view. The acting. dialogue, and storytelling of 
the film are all very entertaining. The bond between Aurora and 
Maleficent is touching and heartfelt. And I like the dark tone. So 
overall, this movie is fantastic.",
59,EmmaDinkins,9,A Chix Chat On Film Review: New spin on a classic.,"This film was so creative and imaginative that it made me want to go 
back and review Sleeping Beauty just to map the correlations; this was a
 wonderful new spin on an old tale. Maleficent (Angelina Jolie) was not 
just a one dimensional villain; she was truly relatable and genuinely 
garnered sympathy for all that she endured. I wasn't surprised that she 
had been betrayed costing her to lose her wings, that much was fairly 
clear from the trailer although the extent of the betrayal wasn't clear 
until I experienced the film. Hell has no fury like a fairy scorned! But
 anyone who has ever been angry for any reason knows that it is very 
hard to stay in that place. The passage of time depicted as Aurora (Elle
 Fanning) grew was the best gauge for the changes in Maleficent's 
disposition. The story was very engaging to watch as Maleficent also 
grew. Hopefully, there won't be a crazy Hollywood band wagon of films 
based on every classic villain's perspective; that would be such a shame
 and would put me back on my soap box regarding a lack of originality. 
Shrek did it right and now so has Maleficent. There were so many 
phenomenal special effects in this film that it's hard to call out some 
as superior to others. With that being said, whenever Maleficent 
exhibited her powers the results were awe inspiring, from the floaters, 
to her in-flight and those amazing battle sequences. The special effects
 were as much a star of this film as the talented actors. I did feel 
like some of the magical creatures were recycled from the Spyderwick 
Chronicles, but most were new creations so that's only a minor 
infraction. With all the action, an engaging adventure and a female 
lead, this film is to be enjoyed by all. I'll suffice it to say that 
this is a great film to kick-off the start to the summer movie season 
for avid film lovers.",
60,CountVladDracula,9,Charming,"Maleficent is a beautiful movie. It has plot holes that are very easy to
 poke at but it's still decent and sweet. The ""true love"" aspect felt 
like a slight rip off of Frozen and I wish they could have given the 
prince a bigger role and or let there be romantic true love in there 
somewhere even if it was between Diaval and Maleficent. I freakin' love 
Diaval by the way.

There are a few things I prefer from the 
earlier script such as king Stefan secretly being half-faery and the 
bastard of a faery king so Aurura could end up developing her own faery 
magick (that was in the earlier script but not the finished movie). The 
three pixies are done better in the movie than in the earlier script 
though. In the earlier script they were kind of bitchy. Now they are 
just bungling.

Angelina Jolie plays the role so well that I 
actually felt bad when she woke up with her wings missing. Visually it's
 gorgeous. The creatures all resemble Brian Froud illustrations. My 
biggest complaint is Stefan. He was a bit over-the-top. Diaval is my 
favorite character though. He has this adorable, dysfunctional 
relationship with Maleficent.

For purists to the original fairy 
tale, the best way to look at it is it's an alternate reality because 
this is certainly NOT the Maleficent of the animated Sleeping Beauty. 
The fact that the three pixies don't even have the names from the 
animated film make that apparent.

You do have to shut your mind off a little but it is good enough a movie that you can ignore it's flaws.",
61,hoxjennifer,9,Angelina Jolie is Magnificent!,"Upon seeing the trailers for Maleficent, I was already excited to see it
 just from the concept of the film - classic fairy tale told from the 
""evil villain's"" point of view (which Disney should do more of if 
they're running out of material). And upon watching Maleficent in 
theatres last night, I was not disappointed. Angelina Jolie steals the 
show - she is absolutely perfect for the role, and the make up and 
costuming on her is just stunning. 

This movie is thoroughly 
enjoyable for all ages. This is a love story without the gushy stuff. 
This is a story about greed, revenge and redemption. Kids and adults 
alike will to be able to get something out of this film. Well done 
Angelina Jolie and well done Disney!",
62,cattjones,9,Sleeping Beauty to the Tenth Power,"I expected to see a film about sleeping beauty and I assume that most 
people expect the same. I was pleasantly surprised to be surprised. The 
film is not what I expected. I also did not see this film in 3D, which I
 regretted by the end of the film. I could see moments (a lot of 
moments) that would have been beneficial if they would have been in 3D. 
Angelina Jolie (Maleficent) did a brilliant job playing the betrayed 
fairy. I do have to say that her cheek bones were pointy to the extreme.
 Elle Fanning (Aurora) is really making a name for herself. I am sure 
that by now she is tired of playing a younger Dakota. The three 
baby-sitters in this film Lesley Manville (Flittle), Imelda Staunton 
(Knotgrass) and Juno Temple (Thistletwit) have to be the worse 
babysitters on the planet. They were very cute as fairies, but when they
 became normal, they were just idiots. Watching them as adults was 
pretty painful and reminded me of the Three Stooges (which I do not 
like). Sam Riley (Diaval) was my favorite character in this film. I 
think that he provided a sense of humanity and sensibility as 
Maleficent's sidekick. The one thing that I did notice while watching 
the film is that a lot of adults kept getting up and walking out (to go 
to the restroom, buy more food, whatever). It was as if they were bored 
because they already knew what was going to happen. I have to say that I
 felt that way too for a while. I even stepped out to return a call to 
my mom. Turns out that there is a twist to the story and when that 
happened, everyone was glued to their seat. I think that the star of 
this film was the imagery. The creatures and background in this film was
 really what captured the attention of the audience (myself included). 
This is a film that I may have to go back and see it in 3D. By the way.
 at the end of the film all the little kids in the theater applauded, 
which is always a good sign for a Disney film.",
63,fuelrodx,9,One of the better fantasies out there,"I'm not a fan of the fairy tale/fantasy genre, but this one is a cut 
above and Jolie did a good job and looked great for the part. My mother 
would have loved this one. This one also was made at the point where we 
had better CGI for this type of thing. They didn't make it look too 
cheesy either. That's another thing that can ruin this kind of film.",
64,TheReviewMaster,9,Maleficently Done,"I grumbled about watching this movie. I went into it already certain it 
was going to be drab, boring and a waste of my time. I still don't even 
know why I watched it. I'm glad I'm not always right.

The film is
 magical, with the fantasy world it's set in and the creatures that 
inhabit it seeming like a place that could actually exist (and if it did
 exist, I'd want to go there). The CGI was top-notch and the overall 
designs in every area of the film spectacular.

The highlight for 
me was James Newton Howards score: truly epic and complementary, hitting
 every beat with certainty (I will be listening to it over and over 
again).

Angelina Jolie even surprised me, for I've sworn off of 
her films for a while now. She was the perfect Maleficent, and I 
couldn't imagine anyone else in the role.",
65,agblum,9,"A Nice, Charming Movie","""Maleficent"" is a live-action re-imaging of ""Sleeping Beauty"", that like
 the Broadway Musical, ""Wicked"" based on ""The Wizard of Oz,"" tells the 
story from the perspective of the villain or antagonist – in this case 
Maleficent, played by Angelina Jolie. Without going into detail, the 
first 1/3rd of the movie chronicles the character of Maleficent's 
background, and how she came into contact with Stefan, played by Shartlo
 Copley, who goes onto to father of Sleeping Beauty herself, Aurora, 
played by Ellen Fanning. That portion of the movie shows what drives 
Maleficent to act in the manner in which she does, and in telling it 
from the perspective of her background, empathy is created for her. 
Overall, I enjoyed the movie very much, and found it very charming. 
Angelia Jolie plays the character very well, and the rest of the cast 
pretty much follows suit. The Visuals Effects while not always perfect, 
for the most part of well done. It is not outstanding, but for fans of 
the story, and if you have any affinity for fantasy in general – It's a 
nice movie. 3 ¼ out of 4 Stars.",
66,jdavisjdavis,9,"A ""What if it were real"" Fairytale","The younger me would not have liked this, because I never liked remakes 
that changed the story. But the older me likes it quite a bit. Even more
 so that I'm reading the ""original unedited 1st edition"" Grimm Fairy 
Tales (in English) while I still read the lighter and newer versions of 
the same tales to my kids. So I get it now in more ways than one that 
there can be many versions of one story. Some of the old fairy tales 
don't really teach nice things to kids, so the stories get changed in 
modern day prints. Not only that, but even back in the 1800's when the 
Grimm brothers were writing the stories down after traveling around and 
gathering the verbally handed down stories, there are often two (or 
more) versions of the same story at that time floating around! So there 
is no perfectly ""correct"" version that exists that anyone can put a 
finger on to begin with.

This movie aims to approach a fairytale,
 a story that is obviously fabricated or exaggerated to the point of not
 being realistic, in a more realistic manner. Realistic in the sense of 
motivation, humanity, and plot I mean to say. It is still very much a 
fairy tale about magic and literal fairies, but it's something to watch 
and think about from a new angle. If you loved the first one, and I did 
as a very small child, then see this one not as a remake but as a 
completely different version of the same story. A ""what if"". Great 
stuff.",
67,vampiri,9,solid acting,"Recently there's been an influx in fairytale Movies and television 
series, i.e. Snow White and the Huntsman and Once Upon a Time, and other
 fairytale-like Movies, i.e. Oz the Great and the Powerful and Charlie 
and the Chocolate Factory. Most of them have done really well, and much 
due to charm and people's fondness of traditional good versus evil.

Plot: ambitious servant to the king sees his Chance to become king. Though successful, an evil curse is cast on his daughter...

Maleficent
 is no different from the above mentioned in style, nor in story. It is 
less ""grown-up"" than Snow White and the Huntsman, but darker than Once 
upon a Time. What separates this Movie from the others is the fabulous 
acting from every single actor/-ress (well, the major parts anyway).

I
 have never been a fan of Angelina Jolie nor Sam Riley (Control and 
Brighton Beach). The former mostly a bimbo with occasional parts in 
entertaining action Movies, the latter a stiff and boring actor in 
mostly flat Movies. But boy, do they deliver here!! Jolie's performance 
is outstanding and you could really see that she enjoyed her part which 
also is very far from what she has done Before. Riley has also outdone 
himself. Besides his performance in Control I'd say he's a mediocre 
actor, but here he has really found a perfect part to portray and 
manages to find the precise level of acting, meaning, neither over nor 
under acting.

Elle Fanning is Young and will have a fantastic 
career, she is really good here and her smile is a killer and really 
captures the innocent girl/princess.

Charlto Copley is a tricky 
actor. His style is weird and sometimes he is good and sometimes he is 
bad. Here he is somewhere in between and does not manage to convince, I 
feel he might be somewhat miscast.

Now I have said a lot about 
the acting, and this not without a reason. Maleficent skyrockets much 
due to the acting. The story is much too common and much of the details 
have been borrowed from Once Upon a Time.

The CGI work is really good and the details in the fairyland are top class.

I can't give it 10 out of 10 because it lacks that last bit which make a Movie a masterpiece.

If you like fairytale-like Movies like the ones I mentioned above you will enjoy Maleficent.

I give it 9 out of 10. I hope Jolie gets more serious parts now, she deserves it after her performance here.",
