No,Nama,Komentar,Rating/Rate
39,zigzag20,"Characters are mediocre at best in an story that seems interesting but quickly becomes ANOTHER poor explained and simplistic TT story. It´s decent and enjojable, and the art and music elevates the whole package, but nothing more.

A big disapointment because people refers at it as one of the best animation movies ever, but it couldn´t shake my feelings at all and his developement wasn´t solid.

Yeah, it has a few good moments and the BSO adds some, but when you are talking about the most popular anime movie in years and you got those terrible characters that i didn´t care about, i can´t elevate the grade more than a C+.

Simple but with a good package.",6
40,ndsempai,"TL DR review: Solid all around romance movie. Not Shinkai's best but comes a close second. A Must watch.

Section wise review:
Story:
Its a Shinkai film, meaning there will be a love story with a twist. 5cm/second had themes of love and effect distance can have over it. Garden of words had love between a student and his teacher while in Place promised, childhood friends took different paths as time progressed but were drawn back by a promise made during their early years.

Here we have a love story which starts off with body swapping but eventually becomes across different time periods. Its told in a sort of a non-linear way. The closest film I can think of with a similar plot is the Sandra Bullock starring Premonition.

Art:
It's a Shinkai film. That really should be certificate enough. The scenes are dripping with detail. Shinkai has a knack of taking everyday, normal stuff and making them seem magical. A simple train ride can be made to appear to be out of a fantasy setting and here it is no different. There is a section in the story called ""Kuchikamizake Trip"" which is hauntingly beautiful. Like ""making of cyborg""/parade scene in GITS/Innocence or the classroom destruction scene from Aku no hana, the scene stays with you long after you have seen the film.

Sound:
The music was an eye-opener. Music in other Shinkai's works hadnt really impressed me and I always thought of it as a weak link. No more, the songs here are truly breathtaking. Some of these songs, I will add to my playlist. My fav songs are Kuchikamizake Trip and Kataware Doki.

Character:
Here is where I feel the movie could have slightly been improved. Bear in mind that these are mostly nitpicks on my side. I feel Mitsuha got a better character arc than Taki. Taki was just some guy in Tokyo who had a crush on his sempai from work. His family status, his friends and other details about him were generally left open for interpretation. Mitsuha got a good character arc but towards the ending the entire confrontation with her father curiosly occurred off-screen. We were just told that Mitsuha's father finally believed her and got the villagers to safety. Kind of a cop-out IMO. It wasnt organic.

Enjoyment:
Nothing to complain here. Strangely I even liked the usually jarring j-pop songs Shinkai uses in his films.

Overall:
It doesnt approach the greatness of subtle storytelling that 5cm/second employed but in terms of Shinkai's works, it is a very, very close second.",8
41,Mutefrog,"Haha, yet another example of all beauty with no substance,



Your Name is quite a mess of a movie, random things unexplained, plot holes, stale characters, the list goes on. 



The best words to describe this movie is, anti-climatic. Every impactful
 moment involving Taki and Mitsuha feels like absolutely nothing to me 
because their situation involves 0 personal interaction causing me to be
 in disbelief on how they fell in love. I understand you care about him 
 but I just don't get why? This would have been easily done better if it
 was just a friendship instead of biting of more than you can chew

          
        and making it a romance. But since it's a girl and a guy, you 
can't have that. The romance is just completely unbelievable to me. I'm 
not sure how anyone actually thinks 2 people can fall in love like that.
 They had 0 chemistry, the writers just sorta, shoved them together. It 
makes more sense for them to care about their friends and family more 
than each other because those are the people they actually interacted 
with. 



The characters are quite flat and so are their relationships, you don't 
get much of their outside relationships except for meaningless 
interactions between other characters. The only characters who didn't 
suffer from this issue were Mitsuha's friends and that one chic Taki has
 a crush on, but even her character was barely meaningful to the story 
or her relationship with Taki. Taki's dad was just forgotten about and 
so were Mitsuha's other friends. I'm not sure why they added all these 
characters to barely do anything with them. From Taki's side, it seems 
like they were going to do something with these side characters but 
nope. You could have left them as just a snapshot of Taki's 
relationships and outside life, no need for them to get so close to the 
plot. I could understand the abundance of out of place characters if 
they did something to develop the main characters but no, they just took
 a back seat and nothing else for most of the movie. 



Mitsuha's family were severely underused, and we don't get much of 
Mitsuha's relationship with her father so I don't care when she 
eventually stands up to him. Grandma and Sister are there...yeah. 
Mitsuha's friend were kinda cool tho, they actually did something and 
interacted with the main characters. 



There's just too many things this movie wanted to do involving 
relationships, Taki's relationship with the hot chick was just there I 
guess, his 2 friends were there I guess. Mitsuha's relationship with her
 grandma and sister were there and her relationship with her dad was 
there too, barely. At this point, just drop all these relationships 
since you want to focus on the main 2 characters so damn bad, you can't 
do both. 



Taki is just the boring default protagonist that every person that 
identifies as a man can relate to. It's getting old. This character is a
 virgin who can be slightly anxious sometimes but can also can solve 
everyone's problems because they're the heroin. Taki stays completely 
static through out the entire movie, no change, no character 
development. He's boring to say the least. Mitsuha is slightly better 
written, she's your basic cute timid girl than any boy could fall for. 
She has character development [if you squint really hard] involving her 
dad which was sadly, once again, barely touched on. 



There are a lot of plot holes and unexplained plot points throughout 
this movie. First of all, you're telling me Matsuhi, nor Taki were aware
 of the dates?? Like, did Matsuhi not check Taki's phone and saw a 
different date than she was aware of. Did Taki never write the date on 
his homework while in Matsuhi's body? What are these random amnesia 
moments they keep having. Hello? This just seems like they did it as a 
plot device to raise the stakes. How come Matsuhi drinking homegirl's 
spit gave him some visions? We're just gonna pass this off as magic spit
 necessary to get the plot going? yes? okay. How did they switch bodies 
while still awake. I thought they could only did it when they fell 
alseep, that's how the story set it up as. You have to have a set of 
rules involving magical supernatural situations like this, it keeps the 
story grounded. You can't have random sh1t just happen for no reason, 
this just makes it so that anything is possible, reducing the stakes.



The climax of the story was quite anti-climatic. They just sorta did a 
360 and finally decided to reveal the obviously coming major plot point.
 I feel like they should have left clues showing the viewer something 
was off, building up to the reveal instead of just saying ""OMg she was 
dead from the start. wild! Isn't that CRAZYYYYYY"" like we're 5, There's a
 load of missed opportunities to improve the storytelling in general.



The animation was disappointing to say the least, yes it's pretty but 
the animation itself is boring. Take this for example, loads of recent 
disney movies have these gorgeous hyperrealistic backgrounds, but... 
it's boring. Now take Spiderman Into- the Spiderverse. The backgrounds 
are more inventive, different, interesting, creative. It just has more 
personality, it's own feel. Your Name just looks nice, that's it, ya 
know?  The way characters move are boring too, the only thing I'll 
praise it for is how they show Mitsuha's more feminine mannerism through
 Taki's body. I thought that was pretty cool. Everything else, meh. Oh 
and there's the red string, super deep right? Never seen that before.",4
42,AvatarRevy,"""Your name"", is one of the greatest pieces of Japanese works since the creation of sushi.

Before you read this review, I highly recommend you watch the preview and/or read the synopsis for this movie.

Kimi no na wa is a beautiful and incredible movie that seems to be successful in all categories; a movie which would interest even those who don't find the genre interesting. And while the plot idea may not excite some, the setting, characters, and the fantastic work of the director, Makoto Shinka, will cause you to experience a multitude of emotions.",10
43,ANT4,"THIS REVIEW CONTAINS SPOILERS



Kimi no na wa. is the highest rated movie on MAL with a score of 9.13. A
 lot of people were amazed by this movie, but I have a lot of reasons 
which made me hate this movie.



Reason no. 1:Plotholes

The movie is about two people swapping bodies, but they do not live in 
the same moment. They are born the same year, but Mitsuha is 3 years 
older. When they swap bodies they leave each other notes on their 
phones. THEY WERE CONSTANTLY ON THEIR PHONES AND THEY NEVER CHECKED THE 
DATE.

Another plothole is the fact that the bodyswap was never explained

          
        and Shinkai never told us what was the cause of the bodyswap!



Reason no. 2:Melodrama

The movie is forcing emotions on the audience way too much. Every scene 
which is supposed to be emotional is succeeded by a song. This was 
annoying because it was interrupting the movie constantly! 



Reason no.3:Pace

The first 50 minutes of the movie is about their experiences in other 
person's body! That is almost half of the entire film! Next 40 minutes 
are about Taki searching for Mitsuha and trying to save her life. They 
meet near the end and get separated very quickly out of an unknown 
reason.



A lot of people probably liked this movie because it blends romance, 
teenagers and time travel together. This movie is perfect for any Otaku.

I recommend the movie to you if you like to shut your brain off and 
accept every single fact thrown at you during the movie and just enjoy 
the beautiful visuals.",3
44,LorkDryos,"Genuinely don't understand the hype. It was very pretty, but the story was the most generic done-to-death romance story in which nothing really happened and continued to not really happen and then it was over after a really cheesy ""Can I ask... your name!?!?"" line.

I honestly couldn't tell you a single thing about any of the characters personalities because they had none, other than teehee boy gropes his own boobies.

The art style was very good and the sound design also was. I didn't really care for the pop songs in OST for the most part though, but that is a personal taste thing. You can tell a lot of production value went into these both, shame about the unintuitive story.",6
45,telerabies,"When anime is overtly trying to be realistic and cinematic, the lines between cinema and anime are further blurred. This might be a good thing for the wider reception of anime in cinemas (especially outside Japan) but not necessarily a good thing because 'anime' starts to take the medium itself too seriously.

Each scene is 'crafted' to look great in the isolated frame and it does demonstrate the animation technologies of Makoto Shinkai's anime movies - from Byōsoku Go Senchimētoru to Kotonoha no Niwa. This is not to blame Makoto Shinkai and his amazing achievement as an animator, editor and cinematographer, but not as a storyteller. Cliches are not necessarily a problem when you have excellent storytelling skills but your name is definitely not one of them.",6
46,Sin_the_Demon,"This movie is a beautiful looking cliché movie. Your Name is a movie 
that is supposed to make you feel for the characters and feel all these 
sort of emotions that coincide with a romance anime. But this movie 
doesn’t give me any sort of feeling for the characters and how they are 
meant to save the girl and her town before it gets destroyed and kills 
everyone. I really had wanted to like this movie but I couldn’t.



The Story: 2.

The story of Your Name is unique concept but that doesn’t change that it’s a clichéd mess of a story. The Main male, Taki, has

          
        to save this girl, Mitsuha, and her town, Itomori, from a comet 
that crashed into the town but Taki and Mitsuha change bodies. Even with
 how neat the description sounds, Your Name just wasn’t able to keep up 
with it and relied too much on the romance aspect of the movie for way 
too long. It got good towards the end when they actually helped save 
Mitsuha and the whole town’s people but then they ruined it by having a 
cliché ending, Taki and Mitsuba meet up once again and then Taki gives 
back Mitsuba’s yarn, He could have worked the ending to be less clichéd 
but he didn’t.



The Art: 8

The artwork in this movie is really good. It’s drawn, coloured and 
animated super well and it’s so beautiful. The production quality of 
this movie is very good and the choice of colours is phenomenal. 



The Sound: 7

The sound quality of this movie is really good. And the band RADWIMPS 
did a really great job on the music for this movie. The soundtrack is a 
very very good and was the most enjoyable part of this movie.



The Characters: 4

The Characters of this movie, They bothered me for most of the time 
watching this movie. Taki just felt like a creep during most of this 
movie, especially when he starts looking for her and the town where she 
lived all to find out her name so he could meet her. Mituha was a nice 
character who actually seemed to care about what was gonna happen and 
seemed really excited to go to Tokyo when she changed bodies with Taki. 
The characters that joined along side of Mitsuha, during her while 
trying to save the town, were just so annoying and forgettable. 



In the end, In my Opinion, Your Name doesn’t deserve all the hype that 
it has gotten over the 4 years since it was released. The story is just 
your typical romance, drama anime with no real weight in the Genre. The 
Art and sound were the best parts of the movie but even so, it doesn’t 
change the fact of a lackluster movie. The Characters were mostly just 
annoying and the least interesting part of the movie was the main part 
of Your Name, the Romance. The Romance between Taki and Mituha was just 
so damn boring and just a pointless part of the movie. It's a 3/10 for 
me",4
47,HarryRambod22,"I didn't outright hate this movie but I didn't like it that much either. The story and pacing weren't good and even though this movie was only an hour and forty six minutes long it felt much longer due to the unconvincing story and dry characters. This movie is like vanilla ice cream it's edible but is it the be-all and end-all of food? Not a chance. What I enjoyed about this movie were the great visuals. Everything looked stunning and was pretty to look at. The issue is though none of it had much substance. Makoto Shinkai basically created a visual movie (maybe drawing tutorial). The visuals are beautiful and nice to look at but is there really any substance behind it? Makoto Shinkai is definitely no Miyazaki, Kawajiri, or Satoshi Kon (RIP). Good artwork but he needs to focus on making interesting characters for a story like this to work which he didn't. Maybe I came in with too high expectations? That is possible but for such a highly rated and acclaimed film I just didn’t think it was all that special or exciting.",6
48,Rikuson1,"This movie was a good movie for people that like slice of life and stories in the realm of freaky friday, or body switchers should I say would get a kick out of this one, it was the plot twist in the middle that kept me going to see how it was going to end. Now I probably would have rated this higher if it went for an end that I didn't see coming or at least go for an ending that wasn't so should I say ""lazy, easy and safe""? Nothing wrong with safe, sure but you don't get any extra points by me with such a lazy ending, this is 2016 with a ton of inspirational and good story telling to pull from. Mediocre endings have been really urking me lately and it doesn't help that this fell into that point was unsatisfactory. Yeah I know this is fiction but at the end of the day you have to put some attempt to make sense of the rules of the fictional world you have created Kimi No Nawa gave no fucks when it came to explaining what the supernatural rules to the alternate timeline/dimension body switching crap it introduced. They showed us patterns on how it works then by the 80% point it stopped giving a fuck for the sake of making the audience feel for the plot in an emotional way. I can't get down with such a sloppy conclusion just to make sure the the to main characters end up with each other. Far too many questions, it seem like the writers just want you to stop thinking and just embrace your simp like emotions, cry like a bitch at how debatably touching these scenes are and give me a 10/10 because I made you cry. No.. you are a good movie but you are not a very good movie in my eyes Kimi No Nawa you have far too many flaws that i can't let you ride out with.",7
49,kingsenpai05,"*ONE OF THE BEST EXAMPLES OF POOR WRITING*

__________________________________________



i saw this film cuz of the hype surrounding and for that rating but it 
doesn't desever that at all (i know so many people liked it but i dont 
care)



________________________________________



story :- the story is not like something that comes in a decade or comes
 by acheiving masterclass in writing . it's just plain and simple and 
those who are more into anime can expect what happens next. At first i 
thought concept is different but it lost track so easily



Art :- Art really deserves good marks. the only aspect i enjoyed



Sound :- it's not clearly audible and

          
        sometimes sound doesn't do a good job here. but sometimes its better to add it when the scenes are intense.



Character :- during the 1st half characters are like great. but they get their graph falling , falling and falling.



enjoyment :- YUP, I SUCCESSFULLY WASTED A nearly 2 hours for this film.



OVERALL :- those who  are new into anime and are not picky then go watch
 this. but those experts out there, its just a same old ass story
        ",4
50,Yorozuya4eva,"I have to make it clear I don't believe that this movie deserves the hype it's been given, that was probably one of the reasons I was so disappointed when watching this. That being said the movie is by no means excruciating to watch and the basic idea behind the story is not too shabby so if you have time and you're able to just watch it with no expectations good on you, watch it, you'll probably enjoy this more than I did.",7
51,Katecof,"The movie is mediocre, I can appreciate the animation and the art direction, and we can also say that the way the story rolls is pretty interesting, the characters meet each other by switching body's and living the life of each other... but how exactly am I suppose to believe that something like that can evolve into a romantic connection? They had been doing that to endure the situation they're involve in, there is not a plausible way to think that such a thing can happen in those circumstances, you can feel worried about your survival partner, but you can't feel the desire to be her/his boyfriend/girlfriend, at least not when you are unable to treat with that person face to face.

The time travel is another plot hole, both kids were set on different dates and none of them were able to figure that out (despite they spent like 1 or 2 weeks dealing with the problem)

The whole problem was solved thanks to the magic of the plot armor, since literally everything got solved by a miracle that came out of nowhere, and both kids were able to save the whole town because of that.

5/10 Just another disappointment.",5
52,michaelchr42,"What happens if you take the classic over-indulgent Shinkai movie, throw
 in a new sci-fi aspect, and then cram in every cliché in the book? 
Well, you’d get “Kimi no Na wa,” (“Your Name,” in English) aka the most 
overrated anime movie of the decade, and one of the most overrated 
movies period. It’s extremely difficult for me to write a review on a 
Shinkai movie without it turning into a larger rant about Shinkai and 
his poor directing, because he is invariably stuck in his own 
self-indulgent, bland formula, and “Your Name,” is no exception. The 
movie is a messy and frustrating ride of

          
        ups and downs, with some pretty art and faux-philosophical 
dialogue to trick you into thinking it’s anything above average. It’s 
Shinkai schilling out his most commercially wide-appealing, and 
tweeniest movie of all. It seriously has about as much tact as something
 like “Twilight,” or “Fifty Shades of Grey.” The movie is tweenager 
perfection; two hours of angsty pre-teen fantasies about groping a cute,
 quirky girl who eventually falls for you. It really is the anime 
equivalent of emotional escapism porn for angsty teenagers with crushes,
 just dressed up in pretty clothes to be touted as a movie of the likes 
of ”Akira,"" and ""Spirited Away.""



Now, before going deeper into my problems with “Kimi no Na wa,” I’ll 
take a moment to discuss its merits as to not make this review overly 
rant-y. The photo-realistic animation is nice, and there are some really
 good sequences throughout the film. The story improves at times and 
there are even a few emotionally resonant moments, however, the glimmers
 of greatness are hampered by horribly tacky stylistic decisions, dull 
and generic progression, along with heaps of predictable and 
overbearingly corny moments. This wouldn’t be a Shinkai picture without a
 main comedic gag based around breasts, and I kid you not Taki groping 
Mitsuha for comedic effect isn’t brought up once, not twice, not thrice,
 but five fucking times. Continuing with cringe-worthy stylistic 
decisions, the whole movie is filled with constant build-ups of piano 
music one after another that each last around 5 minutes and get 
ridiculously, and irritatingly repetitive. The song choices aren’t much 
better, as they shove multiple tacky pop songs in at random points in 
montages and emotional moments to laughable effect. The possible biggest
 offender though is the overbearingly ostentatious narration and 
dialogue. Shinkai is just a bad writer, and the voiceover’s in his 
movies are always flat-out embarrassing. The voice-overs are lame and 
superficial; they're made to sound like they hold some sort of weight at
 a glance, but upon the slightest inspection, you realize they’re really
 just boring, self-indulgent, and empty narrated monologues. 



“Kimi no Na wa,” wanted to be many things, and had some legitimately 
interesting thematic directions, but ultimately fails at realizing any 
of them. Shinkai tries to convince you that Mitsuha and Taki have a 
significant and even transcendent bond, but he doesn’t actually lend 
anything real to it. Music and visuals are the movie’s crutch, all the 
emotion, and supposed bond between Mitsuha and Taki are carried by the 
pretty pictures and boo-hoo sad music, without actually holding weight. 
The movie had so many potential thematic routes that it just never 
explores, it scratches the surface of being about family, or the 
intangibility of human connection, or bonds threaded by dreams and 
underlying, but overpowering feelings. It could’ve gone in so many 
directions, but instead, it just crumbles under a generic and seemingly 
endlessly repetitive narrative. Funny enough, I think Shinkai has gotten
 worse as a director over time as his earlier, shorter work is his 
strongest in my eyes. “Your Name,” would’ve seriously benefitted from 
the more intuitive, emotional work of his earlier career, and I’m 
starting to believe that Shinkai should just go back to short films, or 
hire a writer and focus on visuals. To speak one more praise to “Kimi no
 Na wa,” I have to mention the kuchikamikaze drinking scene. It’s a 
beautiful and cerebral segment filled with creative visual direction and
 represents everything the movie could’ve been for me. It’s a really 
great scene that sparked thoughtful feelings in me and is easily my 
favorite part of the movie. 



Roger Ebert said, “Every great film should seem new every time you see 
it.” A favorite film is said to be one that you can rewatch and love and
 appreciate each time in possibly new ways. The opposite has been true 
for me watching “Kimi no Na wa.” My first experience with the film was 
as a 12-year-old weeb who loved it dearly and rated it a 10/10. The 
superfluous dialogue sounded smart to me, and the visuals were 
oh-so-pretty, plus the whole emotional escapism porn aspect spoke 
greatly to my insecure self with a crush. My second watch was as a 
slightly older 14 year old. On this second watch, I started to find 
problems with the movie and its overblown corniness, my score was moved 
to an 8/10. Upon third watch, I disliked it even more and moved it to a 
7/10. Recently, a few years later, I watched the movie with some friends
 marking my fourth watch, and surprise, surprise I disliked it even 
more. After getting more heavily into movies, I found ""Kimi no Na wa"" to
 simply be average. Finally, on this most recent and final rewatch I 
have solidified my opinions on the movie and give it a 4/10. I actually 
really dislike the film now, and even though I feel it realistically 
deserves something around a 5, my ratings are based on personal 
enjoyment and so my rating now sits at a 4/10. “Your Name,” sure is 
pretty, but it’s also pretty convoluted and ultimately hilariously 
overrated. ",4
53,callie_v,"I'm not a movie critic, so when I watch a movie I watch it to enjoy not 
to write a comprehensive review. And because of that, it's hard to write
 much about this movie because of how forgettable it is. 



The MC is your typical regular dude. What impressive and smart character
 design... making the character relatable to the general audience in 
order to entrance the viewers. Except it's not exciting, it's boring, 
it's been boring the first day the trope existed and it's boring now. 
It's okay to make a character a little less colorful than the other 
characters for relatability, but you can't

          
        leave an empty slate for the MC. 



The ""love"" aspect in this story is just a divine fated relationship, 
which is a shallow idea of romance in my opinion. What this story has 
going for it is the premise. It's a body swapping, time traveling blur. 
It's confusing but not interesting enough to bother to understand what's
 going on.



The time skip ending was so generic they may as well added a kiss under 
the fireworks scene as well. It felt as if they were clearly trying to 
appeal to everyone in the world and in order to do that they made the 
characters, emotion, and plot as bland as possible. This movie doesn't 
have traits that make it a bad, negative experience. It is just so bland
 to the point of painful mediocracy.
        ",4
54,VelleEdge,"Kimi no Na wa is an ambitious slice of life anime packed into a marvelous movie-length bite. It is hard to believe how much character development was actually achieved and how impeccably it was done. This development was achieved, as most great character development is done: not through mindless narration but by putting the characters in particular scenarios, watching their interactions with other characters and environments, and with each other; meaning, that you're utterly bombarded with character development through the entire movie, whether you notice it or not. Every little action and reaction, every decision, every scene is specifically tailored to show you as much of the characters as possible. This is the more impressive considering how ambitious of a premise the movie has and how much plot there is to tell. And, it somehow does all of it with time to spare. The story told in the anime is full of emotional plot twists that are sure to get your heart racing, just ignore the massive plot holes everywhere. A solid pick for fans of the slice of life genre.",5
55,sg001,"What is visually beautiful is the same amount of script errors:



• Taki is not a well-developed character, he becomes forgettable when he is not in Mitsuha's body;



• With two cell phones in hand, how did they not notice that they were 
both living at different times? Especially Mitsuha when you weren't in 
Taki's body in Tokyo didn't you see any subways / trains on the banners 
and other places in the city registered in 2016? In this universe there 
are no applications? Is there no car of the year? nothing to show or 
what they live on?



• Supporting characters don't have a ""life of

          
        their own"", if I reach out to you and say we're going to explode in a bank, would you? of course not!

They are already friends of Mitsura without asking any questions, doing 
something like that, using explosives to blow up a city energy reserve, 
breaking into a radio and evacuating people just because of Mitsura said
 and also because of the script anyway they do to use a friendly ending 
to the general public;

It would be more coherent to make Mitsura convince an exchange or party 
location for a school saying that it would be more comfortable for 
everyone, as it causes a more defined space and the like, does not do 
all this maracutaia above to give an ""excitement"" in the anime;



• A reaction from the character Okudera, Miki bothers me a lot for not 
being natural, imagine how to call your girlfriend to an indoor location
 asking to remove a skirt that I will calculate in that location? It is 
obvious that she could not take the same out if she were gay because she
 was not intimate with her, but also question me why a restaurant has 
different colored threads and a sewing needle?

And another point, why doesn't this restaurant have clothes reserved for
 its employees? we know that because of the hustle and bustle as waiters
 sometimes get dirty like clothes and that there is always a reserved 
outfit so that it does not give an impression to customers in 
restaurants;",1
56,Cyxnnn,I would not recommend this anime to anyone. It was okay but nothing that made me sob or contemplate after i had finished it. It left no lingering emotions and thats a sign to me that I didn't enjoy it.,6
57,skumar99,"Overall the anime is good but not as good as you would expect from the hype it got. The anime seemed to lag behind in the story department. The story starts good but starts to weaken dramatically towards the end to the point of not making any sense.
I have watched about 100 anime now and a lot of them are much better than this show. Seeing it at the top of rankings just makes me cringe. Seems everyone just likes to jump on the hype train even when rating shows.

Recommendation: just watch it, wait for the cliche's and forget. It's not that great",7
58,Banat_Lo,"what went wrong? everything is what i'd like to say.



i never wanted to write a 'review' here, congrats ''your name'' for being that disappointing.



it seems like all the effort went into making the movie as visually 
appealing as possible. other than that? you get nothing. tbh, the 
'gorgeous' animation effect was only good in the first quarter or so. 



a summary would be; a bunch of hopeless clips put together in hopes of 
moving the audience with some arguably nice backgrounds and decent music
 which, unfortunately, failed in every aspect.



there was nothing memorable from this except my frustration and the need to just get to

          
        the ending. the story could've been explained properly instead 
of forcing so many disastrous plot holes. their meeting, connection and 
love made no sense at all. honestly, they themselves made no sense, were
 they even real? they were created in such a way that they looked like 
cardboard cut outs to me. their nonexistence dialogue was boring and 
their interaction? lacking depth and emotions.



i think i will just stop here before i waste more energy on this. this 
had the potential to be decent at least, but they chose to do it the 
other way. peace.
        ",2
59,32k,"The story is ridiculous, the flow and focus of events is ridiculous. It is an affront to the genres that it is tagged with, Romance and Supernatural in particular. Regardless of that I enjoyed writing this review so I have no regrets about watching it, especially since the movie only took up 1hr. 40 min. of my time. =D

The only thing I really enjoyed from the movie, aside from the stunning visuals, was the humor.",5
60,Iroha_Pixie,"With a very high expectation from the community and all with all the hype going, this anime fails to deliver and dreadful.

The story is 1/10 wherein its rushed and so many details not included 
thats it leaves plot holes and inconsistent storyline. Like yeah they 
have a gender swap and they help each other BUT the most annoying is how
 they fell in love. Like a moment ago theyre just helping each other and
 then suddenly they fell in love with even metting each other? Their 
love story seems forced and the anime fails to deliver a story where 
viewers can feel that the love

          
        is natural. Just because of this one scene it ruined the whole 
point of the story like they're just shoving like ""here you go, you guys
 are in love now"". 

Art and the music is really enjoyable but the directing and storytelling is what really makes an anime entertaining to me. 

So I'll give this a 1/10 overall rating for the fact that the rating is 
so high when the story is a mess just to lower the rating for the sake 
of othe deserving anime. 
        ",2
61,willster88,"I still think this is a good movie, just it was overhyped, and not as good as many people see it. I think of it kind of like SAO. It was so hyped, and many watched it, but in the end, it was overdone, and missed out on a lot of potential, even though both of their music was good, and the art style was wonderful.",7
62,TurnoverHD,"Your name is a film that thrives on simplicity, but it doesent go as far with it as i hoped.
its a film that does things that other, big budget movies LOVE to do.
trick your brain into thinking the movie appeals to you when it really appeals to everyone.
Just like Marvel films, and some other anime films, Your name does alot of things in an attempt to appeal to as broad an audience as possible. it never goes far into one genre, wallowing in sci-fi, comedy, romance, and slice of life specifically, and as a fan of all these genres it would appeal to me on paper, right?
exactly.
by having such a broad appeal, Your Name fails to inject any uniqueness into the film. and while Your Name is said to make people cry, my eyes were dry as bone. it is by no means a terrible movie, just like some marvel films and anime, it feels unfair to say it isnt good, it is good. but unlike some truly great peices of media, it doesent want to appeal to a specific audience, afraid of insulting other ones.
this is why it made so much money, because it uses a trick that i hate. make the film broad and samey in order to maximise profits. i liked the film, but i felt manipulated or shoved in a certain direction. I originally watched this film expecting the body swapping to remain the main plot point, but i got too much of too little. And thats why its a 6. its Art is amazing, and the studio probably neglected alot of animators to make it that good, the sound design is nice, but it lacks identity. i enjoyed the characters, but only because there wasnt a reason to hate them or love them, they didnt appeal to me or turn me off in the same way the plot does.
in my opinion, characters make the story, and plot is super important in any peice of media. and by having such a broad range of appeal, it ticked the popularity box, but its sadly shallow and unassuming. it avoids any risks and plays it safe. i dont regret watching it, but i wont be again",6
63,Ikitsune8,"A good and bad movie. If you are searching for some entertainment, well it's near perfect and I understand the hype for it. If you are searching for some romance... well, it's okay, I guess ? Go watch 5 Centimeters insted (cliche too, but better feeling, more unique because of the winter). If you are searching for something not just good, but original, you will want to cry. This is hard to give a grade, because it's one of this popular thing that is neither bad, good or between the two. It's perfect for entertainment and fast romance emotion. But for some second tought, this movie is really bad. Nothing unique. I had a good time watching it and I liked it, but, oh well. It's sad, because, it's soooo beautiful !",6
64,jacobburke54,"Being that it's currently ranked number one on MAL, and the fact that it was made by ComixWave Films, I had pretty high expectations for Kimi no Na Wa. During the first half of the movie, I probably would've given it a 9/10. The colorful and vibrant visuals plus the character development and hilarious drama really impressed me, and I was understanding why it was so widely loved. However, the more I watched after the first half, the less I started to like it. The silly atmosphere went away, and it became a lot more serious than I feel it needed to. It seems like every modern show just feels the need to have some special meaning behind it, and ends up making your head hurt out of confusion. Even if they felt it necessary to have it take a serious and life threatening route, I think they could've done it in a way that made more sense. I've seen countless people on forums who are just trying to understand the canon story. I know some people like the mystery of them not ""shoving the plot in your face,"" but when I watch a movie, TV show, anime, or really any form of media, I don't want to stress myself out just trying to understand it. With that being said, however, it wasn't bad at all. I'm just a bit disappointed I couldn't enjoy it as much as most of the MAL community seems to.",7
65,LazerSnipe,"The first time I ever watched this anime was on an airplane ride. The anime overall has is good part like the romance. However, the bad parts over weigh the good parts including like the story line. The whole anime was just plain and doesn't have any real motives. For example, One piece is to find the One Piece and Naruto is to become the Hokage. [Spoiler] The ending was also very cringe-worthy since the two people passed each other 3 to 4 times and didn't realize it was the same person they wanted to meet. I really wanted to punch the screen in front of me and yell out loud in the airplane.",6
66,Rormi,"This movie is just okay. It's kind of sad that Japanese animation peaked back in the K-ON!! movie by KyoAni in 2009, and now with Kimi no Na wa (aka Your Name in USA) we get Japan telling us the exact same story and exact same animation and exact same characters and exact same scenes as 5 Centimeters Per Second, which literally came out 15 years ago, without any kind of plot twists. Or Plot turns, in my humble opinion.

I defy you tell me the tone and ending of this movie's and 5 Cm/s was any different! Judging by this movie, Japan still is a country of adults stuck in arrested development with no future and pathetic social skills just waiting for the world to end. SAD! (And perhaps BAD?)",5
67,infoworms,"Let's get this out of the way: the visuals are gorgeous.

The plot and characters are not, especially the main guy who is kind of a scumbag with the body swap stuff. On top of that the plot has so many holes you could call it swiss cheese. So many inconsistencies and head scratchers and so many unanswered questions that the movie just never seemed to think about. Worth watching for the visuals but don't expect a story or characters on the level of something like A Silent Voice because you won't be getting one. You'll be getting a fine story with some forgettable characters. The premise feels almost squandered at points with how many things left me going ""alright but why""",7
68,celeristicks,"I love this movie so much!!

I generally get super emotional over the tropes used in the movies, so take this with a grain of salt, but it genuinely made me cry. I was sitting there next to my friend ugly-crying.

The soundtrack is gorgeous and I enjoyed it thoroughly, you can tell that the composer really put the effort in to make it fit the film perfectly

The animation is very good as well, and the visuals, especially towards the end, are stunning

I would recommend this movie to everyone, anime fan or otherwise. What are you doing still reading this review?? go watch it!",10
